order,name,out_channels_orig,in_channels_orig,groups_orig,kernel_size_orig,out_channels_pruned,in_channels_pruned,groups_pruned,kernel_size_pruned,reduced,remain_ratio,reduced_ratio
193,model.38.cv2.conv,128,192,1,1x1,16,96,1,1x1,112,0.125,0.875
194,model.38.m.0.cv1.conv,32,64,1,1x1,16,32,1,1x1,16,0.5,0.5
195,model.38.m.0.cv2.conv,32,64,1,1x1,16,32,1,1x1,16,0.5,0.5
196,model.38.m.0.cv3.conv,64,64,1,1x1,32,32,1,1x1,32,0.5,0.5
197,model.38.m.0.m.0.cv1.partial_conv3,8,8,1,3x3,4,4,1,3x3,4,0.5,0.5
198,model.38.m.0.m.0.cv2.partial_conv3,8,8,1,3x3,4,4,1,3x3,4,0.5,0.5
199,model.38.m.0.m.1.cv1.partial_conv3,8,8,1,3x3,4,4,1,3x3,4,0.5,0.5
200,model.38.m.0.m.1.cv2.partial_conv3,8,8,1,3x3,4,4,1,3x3,4,0.5,0.5
201,model.39.conv1.conv,128,256,1,1x1,128,256,1,1x1,0,1.0,0.0
202,model.39.conv2.conv,128,256,1,1x1,128,256,1,1x1,0,1.0,0.0
203,model.41.conv,256,128,1,1x1,256,16,1,1x1,0,1.0,0.0
204,model.42.input_proj.0.0,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
205,model.42.input_proj.1.0,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
206,model.42.input_proj.2.0,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
207,model.42.input_proj.3.0,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
